model,id,title,authors
book.book,444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms
book.book,446,The Brooklyn Follies,Paul Auster
book.book,447,Moon Palace,Paul Auster
book.book,453,The Music of Chance,Paul Auster
book.book,454,Travels in the Scriptorium,Paul Auster
book.book,456,Leviathan,Paul Auster
book.book,463,The Red Notebook: True Stories,Paul Auster
book.book,466,Timbuktu / Leviathan / Moon Palace,Paul Auster
book.book,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond
book.book,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy
book.book,477,Collapse of Complex Societies,Joseph A. Tainter
book.book,478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam
book.book,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard
book.book,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco
book.book,493,My Inventions,Nikola Tesla
book.book,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo
book.book,497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa
book.book,498,Tesla Papers,Nikola Tesla/David Hatcher Childress
book.book,511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye
book.book,515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt
book.book,523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding
book.book,524,Lord of the Flies,William Golding
book.book,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson
book.book,534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis
book.book,537,The Lovely Bones,Alice Sebold
book.book,538,The Lovely Bones,Alice Sebold
book.book,539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb
book.book,565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag
book.book,570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro
book.book,576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel
book.book,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman
book.book,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman
book.book,619,Vice (V  #8),Jane Feather
